Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1869,0.85,2.6,1.15,0.43,0.87,1.53,0.64,0.63,1.35,2.06,0.9,1.14,2.6
1870,1.33,0.82,1.13,0.92,0.46,1.05,1.55,1.16,1.63,1.91,1.39,1.11,1.91
1871,0.72,0.95,1.97,1.02,1.33,2.33,1.5,1.08,1.07,2.7,1.13,0.71,2.7
1872,0.75,0.74,2.25,1.13,0.76,1,2.91,1.87,0.9,1.56,1.61,1.38,2.91
1873,1.37,1.28,0.66,1.59,1.28,0.71,1.36,4.8,0.86,0.89,1.99,0.55,4.8
1874,3.12,0.6,0.82,1.85,0.91,0.66,1.94,1.05,3.28,1.03,1.17,1.92,3.28
1875,0.76,0.88,0.9,0.87,0.42,0.88,1.84,2.63,0.71,0.76,1.41,0.44,2.63
1876,0.24,1,4.25,1.65,1.17,1.43,1.56,2.06,3.37,0.43,1.5,1.3,4.25
1877,0.76,0.64,1.4,0.64,0.26,1.33,2.91,0.85,0.57,4.05,0.92,0.55,4.05
1878,1.13,2.39,0.98,0.59,1.19,1.2,1.63,3.31,2.45,0.96,2.03,1.62,3.31
1879,1.15,0.44,0.67,1.31,1.26,1.04,1.03,3.95,1.11,0.26,0.61,1.44,3.95
1880,0.6,0.72,1.36,0.84,0.28,0.33,1.86,1.17,0.67,1.18,0.81,0.9,1.86
1881,1.72,1.48,2.19,0.54,1.25,2.07,0.8,0.74,0.62,0.37,0.65,0.69,2.19
1882,0.83,0.84,0.99,0.45,1.12,0.8,1.41,0.6,8.28,0.42,0.38,0.51,8.28
1883,0.69,1.31,0.54,0.88,1.94,0.89,1.01,1.27,1.1,0.99,0.74,0.8,1.94
1884,1.21,1.05,1.05,0.8,1.26,4.29,1.05,1.83,0.12,1.04,1.05,1.94,4.29
1885,0.96,1.74,0.29,0.75,0.54,0.44,1.2,2.44,0.17,1.5,1.32,1.16,2.44
1886,1,2.74,0.92,2.52,2.33,1.2,0.7,0.66,0.46,1.62,0.9,1.14,2.74
1887,1.02,1.84,1.3,0.98,0.16,2.6,1.7,1.6,0.75,1.07,0.61,1.18,2.6
1888,2.05,1.56,1.45,1.11,1.63,1.03,0.7,4.19,1.67,2.05,1.44,2.28,4.19
1889,1.36,1.17,1,1.88,0.78,0.74,2.65,1.7,1.89,0.69,3.65,0.74,3.65
1890,1.26,0.91,1.14,0.56,0.45,1.54,1.41,0.81,1.62,1.55,0.33,1.87,1.87
1891,1.31,0.78,0.81,0.77,0.87,0.56,0.79,1.91,1.35,0.82,0.71,0.8,1.91
1892,1.44,0.32,1.24,0.76,0.91,0.95,1.61,0.78,0.76,0.21,2.43,0.46,2.43
1893,1.32,1.61,1.7,1.96,2.02,1.11,0.45,3.61,0.65,2.46,1.44,1.19,3.61
1894,0.54,0.92,0.35,0.88,0.8,0.33,1.25,0.56,4.3,1.69,1.6,1.52,4.3
1895,1.95,0.17,0.55,1.61,1.14,0.84,1.2,1.09,0.21,1.65,1.16,1.14,1.95
1896,0.85,2.74,1.31,0.65,0.8,2.38,1.97,0.29,1.02,0.7,1.23,0.55,2.74
1897,1.45,0.98,0.54,0.97,1.32,1.89,2.29,2.27,1.02,0.32,1.21,2.22,2.29
1898,1.03,3.07,0.57,1.36,1.36,0.32,2.17,1.15,0.88,1.25,1.38,1.04,3.07
1899,1.55,1,1.25,1.35,0.69,0.81,1.8,2.29,2.12,1.11,0.72,1.04,2.29
1900,1.46,1.31,0.93,0.72,2.02,1.02,1.22,1.26,1.26,1.37,1.9,1.4,2.02
1901,0.9,0.23,2.94,1.81,1.37,0.44,3.07,2.47,0.71,1.2,0.79,2.52,3.07
1902,0.8,1.86,1.05,1.27,0.64,1.7,3.06,2.25,1.25,1.95,0.51,1.97,3.06
1903,1.3,1,0.94,0.75,0.19,2.57,1.16,2,1.63,7.33,0.42,1.34,7.33
1904,0.72,0.97,1.48,1.1,0.63,0.47,0.98,3.63,1.99,1.41,1.32,0.62,3.63
1905,0.91,0.75,1.27,1.09,0.22,1.18,1.12,1.24,2.47,1.26,1.01,1.4,2.47
1906,0.85,0.88,2.25,2.25,2.62,0.38,1.06,0.69,0.68,1.8,0.48,1.25,2.62
1907,0.96,0.77,0.86,0.92,1.46,0.75,0.64,2.34,2.13,1.74,1.37,1.4,2.34
1908,1.46,2.15,0.41,0.86,3.82,0.97,1.47,3.24,0.74,0.48,0.49,1.98,3.82
1909,1.5,1.35,2.12,2.72,0.4,0.85,1.8,4.8,0.74,0.27,0.47,3.03,4.8
1910,1.18,1.21,0.43,1.35,0.35,2.18,0.29,0.37,1.2,2.51,2.6,1.09,2.6
1911,0.76,1.84,0.98,1.31,0.8,1.14,0.71,3.76,0.61,2.45,1.47,0.59,3.76
1912,0.93,1.43,1.81,0.63,1.03,0.7,1.24,1.02,1.01,2.97,2.26,1.69,2.97
1913,0.54,1.23,1.93,1.25,1.01,1.34,3.11,1,3.48,4.98,0.65,1.61,4.98
1914,1.51,1.59,2.95,1.34,0.95,0.74,1.79,1.06,0.17,1.9,1.71,1.81,2.95
1915,2.35,2.12,1.07,1.13,0.82,1.93,1.22,3.25,1.46,0.67,0.67,1.66,3.25
1916,0.3,2.11,0.94,1.42,2.66,1.51,1.1,0.38,0.88,0.78,1.09,1.11,2.66
1917,0.57,0.41,0.95,0.68,1.08,2.54,0.91,0.67,1.5,2.51,0.48,1.54,2.54
1918,1.15,0.83,0.75,1.8,1.86,1.95,2,0.59,1.26,0.35,1,1.27,2
1919,1.22,1.19,1.79,1.57,1.09,1.99,1.82,1.74,2.72,0.8,0.62,0.64,2.72
1920,0.64,1.7,1.81,1.26,1.01,1.76,1.99,1.09,2.21,0.54,1.25,1.72,2.21
1921,1.75,2.68,0.8,0.63,1.1,0.78,0.58,2.18,1.29,0.26,0.88,0.65,2.68
1922,1.38,0.89,1.1,0.59,1.24,1.5,2.13,0.81,1.83,0.48,0.41,1.29,2.13
1923,1.68,0.6,1.1,0.88,0.84,0.76,0.47,0.35,1.5,2.45,1.84,1.07,2.45
1924,1.44,2.21,1.03,2.19,1.34,0.66,0.34,2.29,1.43,0.28,1.85,1.17,2.29
1925,1.92,0.67,1.51,0.57,1.45,1.19,2.14,0.6,0.85,1.08,0.95,1.63,2.14
1926,0.95,1.73,1.19,0.76,0.78,0.51,1.64,3.34,2.24,0.93,1.18,1.35,3.34
1927,0.44,1.14,0.37,0.96,1.43,1.05,1.74,2.6,3.84,1.96,1.84,1.07,3.84
1928,0.64,1.38,1.02,1.2,0.85,1.16,1.69,1.2,1.29,0.68,1.11,0.22,1.69
1929,0.78,1.87,1.6,1.1,0.81,0.79,0.47,0.89,0.78,2.16,0.74,1.06,2.16
1930,0.81,1.24,1.14,0.6,0.84,0.96,2.8,3.03,0.56,0.57,1.86,1.39,3.03
1931,0.93,0.96,1.62,1.57,0.98,1.01,0.79,1.54,0.49,0.84,0.24,0.84,1.62
1932,1.33,0.99,2.38,0.81,1.07,2.11,0.41,1.33,0.68,2.09,1.95,0.6,2.38
1933,0.82,0.89,1.48,2.12,0.96,0.87,2.17,2.23,4.16,0.85,0.33,1.04,4.16
1934,1.14,0.9,2.2,0.97,1.56,1.93,1.61,1.16,4.86,1.72,0.56,1.19,4.86
1935,1.09,1.53,0.8,0.46,0.46,0.73,1.08,0.39,1.6,0.75,1.15,0.5,1.6
1936,2.39,0.88,1.51,1.25,1.63,1.49,0.63,1.56,3.92,2.28,0.4,1.46,3.92
1937,0.97,1.14,1.2,1.2,1.39,1.18,2.68,2.2,3.07,1.84,2.14,0.62,3.07
1938,1.35,0.52,0.57,1.41,0.92,1.69,2.4,1.47,4.05,0.65,0.68,0.72,4.05
1939,1.19,1.59,0.89,1.3,0.54,1.9,0.57,2.31,0.61,1.38,1.4,0.38,2.31
1940,2.06,0.97,0.99,1.93,3.13,0.95,1.94,1.45,2.36,1.26,0.84,1.24,3.13
1941,1.18,2.96,1.78,1.08,0.78,1.71,0.78,2.3,0.51,0.71,1.59,2.97,2.97
1942,1.09,1,1.63,0.85,0.84,0.54,1.46,4.1,1.2,0.71,1.21,1.34,4.1
1943,1.25,0.62,1.92,0.47,1.84,0.72,1.54,1.16,0.62,3.4,0.43,1.07,3.4
1944,0.99,0.61,1.93,1.71,0.52,1.17,0.78,0.88,3.94,0.88,1.67,0.81,3.94
1945,0.77,0.81,0.94,1.68,1.26,1.2,1.32,1.33,3.1,0.5,0.82,1.26,3.1
1946,0.69,0.56,1.21,0.4,2.09,2.24,2.12,2.71,1.33,0.38,0.86,0.88,2.71
1947,0.93,0.73,1,1.95,0.58,0.68,0.79,1.31,0.75,0.64,1.79,2.36,2.36
1948,1.22,0.73,1,1.61,2.49,1.41,1.57,0.91,0.7,0.64,0.94,1.54,2.49
1949,1.23,1.09,0.7,1.31,0.91,0.01,1.1,0.84,0.92,0.93,0.26,0.5,1.31
1950,0.46,0.93,0.64,0.39,0.56,0.98,1.38,1.46,0.59,0.93,1.59,1.17,1.59
1951,1.16,0.87,2.13,0.6,1.21,0.76,1.83,1,0.21,1.95,2.2,1.1,2.2
1952,0.85,0.49,1.49,1.82,1.8,1.95,0.93,1.18,1.17,0.78,1.13,1.26,1.95
1953,1.3,1.3,2.61,1.32,0.65,0.44,2.41,0.92,0.35,2.49,0.77,1.46,2.61
1954,0.45,0.63,0.87,1.29,1.05,0.59,0.37,1.84,2.9,1.13,1.7,0.68,2.9
1955,0.31,1.23,1.02,0.38,1.46,0.59,0.2,3.62,1.22,2.39,1.06,0.15,3.62
1956,0.52,1.01,1.02,0.75,0.51,1.04,0.94,0.73,0.73,2.41,0.5,0.97,2.41
1957,0.49,0.88,0.51,0.85,2.55,0.49,0.67,1.09,1.05,1.19,0.97,1.51,2.55
1958,0.86,0.89,0.9,2.19,0.47,0.66,0.89,1.54,1.2,1.32,0.92,0.51,2.19
1959,0.83,0.5,1.35,0.51,0.49,1.06,1.8,1.25,0.41,1.43,1.1,1.15,1.8
1960,0.84,1.63,0.89,1.05,0.8,1.05,3.56,2.15,2.35,1.6,1.51,1.29,3.56
1961,0.78,2.1,0.94,1.25,1.11,0.96,1.17,0.82,1.05,0.91,0.79,1.05,2.1
1962,1.57,0.83,2.33,1.29,0.49,1.32,0.84,1.59,1.44,1.15,1.61,0.66,2.33
1963,0.38,0.97,1,0.89,0.64,0.92,0.53,1.36,2.18,0.1,2.96,0.81,2.96
1964,1.29,0.8,0.59,1,0.26,0.76,1.09,0.13,1.04,0.63,0.85,1.26,1.29
1965,0.64,1.35,0.75,0.63,0.7,0.47,0.52,0.87,0.86,1.15,0.51,0.74,1.35
1966,0.72,2.42,0.32,0.8,1.97,0.6,0.56,0.63,5.54,3.12,1.09,1.25,5.54
1967,0.82,1.06,1.87,1.08,1.17,2.15,2.08,2.13,0.63,1.43,0.7,1.46,2.15
1968,1.3,0.6,1.42,2.17,3.99,1.9,2.02,0.69,0.8,0.9,1.38,1.78,3.99
1969,0.43,1.64,1.63,1.8,1.33,0.93,1.16,0.63,3.32,0.8,1.21,1.54,3.32
1970,0.16,2.63,1.07,1.93,0.93,0.65,1.06,1.95,0.81,1.1,1.66,0.74,2.63
1971,0.99,1.11,1.05,1.44,1.66,0.97,3,4.16,3.76,2.16,1.55,0.6,4.16
1972,0.64,1.64,1.2,0.97,2.03,1.37,3.16,0.95,0.27,4.09,5.6,1.19,5.6
1973,1.49,2.98,1.35,1.61,0.76,1.85,1.73,2.49,1.62,3.67,0.48,2.49,3.67
1974,1.05,0.39,2,1.38,1.25,0.7,0.54,2.86,3.26,2.15,0.44,2.25,3.26
1975,0.8,1.21,0.87,1.02,1.03,1.98,1.8,0.94,2.3,1.22,1.82,1.66,2.3
1976,1.94,0.82,0.83,1.51,2.48,0.93,0.54,3.9,0.97,1.82,0.32,1.32,3.9
1977,1.24,1.69,3.44,1.2,0.47,1.68,0.69,1.28,1.45,1.73,7.4,1.14,7.4
1978,1.8,0.89,0.81,1.96,3.38,0.4,1.72,1.78,1.36,0.38,0.77,1.79,3.38
1979,3.45,1.54,2.63,1.1,2.7,0.39,1,1.68,1.88,0.91,1.26,0.87,3.45
1980,0.81,0.74,2.21,3.42,0.72,1.08,3.47,0.45,0.91,1.76,1.68,0.18,3.47
1981,0.41,1.77,0.65,0.87,1.67,0.72,1.76,0.28,1.55,0.95,0.81,1.34,1.77
1982,2.73,1.15,0.81,1.86,0.68,1.65,2.18,1.86,0.43,1.23,1.61,0.45,2.73
1983,1.68,1.25,3.1,4.31,1.11,1.46,2.26,2.79,2.64,3.4,1.43,2.18,4.31
1984,0.6,1.73,2.31,2.76,2.19,3.07,3.13,0.37,1.2,1.45,1.94,0.96,3.13
1985,0.3,1.09,0.49,0.39,1.66,1.19,2.09,0.88,3.13,0.78,2.39,0.27,3.13
1986,2.19,0.84,0.65,1.91,0.75,0.91,0.97,1.2,0.95,0.68,1.72,1.62,2.19
1987,1.68,0.5,2.36,1.99,0.41,1.35,1.1,1.04,1.25,1.44,1.26,0.9,2.36
1988,0.8,1.53,0.91,0.59,1.8,0.4,1.71,1.6,1.25,1.53,3.37,0.38,3.37
1989,0.6,1.49,2.05,1.41,2.3,2.55,2.05,3,2.32,2.78,0.64,0.52,3
1990,1.11,0.83,1.05,1.47,2.4,0.74,1.13,4.64,1.03,2.53,1.7,1.21,4.64
1991,0.85,0.53,2.17,2.28,1.39,1.8,1.85,3,1.97,0.76,1.13,1.25,3
1992,0.5,0.84,0.99,0.35,1.99,2.8,0.9,1.52,1.61,0.43,2.18,2.41,2.8
1993,1.42,1.11,2.37,1.89,0.9,0.5,0.76,1.85,1.42,0.97,1.45,1.65,2.37
1994,1.87,1.09,1.62,0.51,0.82,0.98,0.96,1.85,0.79,0.61,1.09,0.94,1.87
1995,1.41,1.26,0.71,0.56,0.68,0.99,3.13,0.13,1.11,2.17,1.41,0.68,3.13
1996,1.4,0.51,0.84,2.08,0.64,3.01,1.77,0.82,2.04,4.35,1.91,1.41,4.35
1997,1.23,0.96,2.07,1.02,0.77,0.99,3.75,0.76,0.7,0.83,0.93,1.25,3.75
1998,2.55,1.27,1.82,1.86,1.94,1.57,0.33,2.38,2.07,0.97,0.97,0.71,2.55
1999,2.42,1.15,0.72,0.38,1.53,0.19,0.24,1.53,5.02,0.73,1.13,1.01,5.02
2000,0.84,0.57,1.11,1.62,1.07,2.62,3.24,0.7,1.9,0.45,1.48,0.94,3.24
2001,0.83,0.7,2.16,0.6,0.84,1.64,0.62,0.59,1.9,0.28,0.81,0.65,2.16
2002,0.62,0.3,0.82,1.64,1.57,1.69,0.63,2.68,1.63,3.06,1.42,1.3,3.06
2003,1.52,1.49,1.08,0.66,1.28,2.75,1.39,1.98,1.19,1.88,1.8,1.59,2.75
2004,0.56,1.59,0.68,1.29,1.45,0.99,2.32,0.91,3.84,0.7,1.01,1.17,3.84
2005,1.03,0.95,2.98,1.8,0.26,0.59,1.52,3.1,0.17,4.26,1.01,1.58,4.26
2006,1.17,1.66,0.52,2.34,1.53,2.79,1.95,2.51,1.24,2.22,3.6,0.78,3.6
2007,1.52,0.94,2.41,7.57,0.83,2.29,2.31,2.5,1.21,1.48,1.25,1.02,7.57
2008,1.29,1.94,1.21,1.18,1.27,2.01,1,2.18,3.26,1.92,0.74,2.35,3.26
2009,1.19,0.35,0.49,1.79,1.15,2.3,1.52,1.05,1.03,1.81,0.5,1.48,2.3
2010,1.25,2,3.86,1.6,1.29,0.89,0.84,1.69,1.33,2.46,1.09,1.38,3.86
2011,1.29,1.32,2.02,1.45,2.18,1.82,1.08,5.81,3.22,2,1.16,1.68,5.81
2012,1.38,0.6,0.26,2.45,1.4,1.02,1.76,0.64,1.96,0.89,1.12,0.99,2.45
2013,0.9,1.56,0.79,0.63,3.02,4.16,0.84,0.85,1.6,0.25,1.98,1.2,4.16
2014,0.5,1.78,1.81,4.97,1.54,1.6,1.78,0.62,0.37,1.51,1.54,2.54,4.97
2015,2.1,1.02,0.81,1.37,1.46,1.12,1.95,1.17,1.58,1.4,1.25,1.55,2.1
2016,2.31,1.22,0.38,0.47,1.65,0.91,1.09,0.82,0.68,1.41,2.2,0.73,2.31
2017,1.18,1.16,1.97,1.18,3.02,1.39,1.78,0.88,0.74,3.03,0.7,0.75,3.03
2018,0.76,1.21,1.86,2.82,0.65,1.36,2.24,2.9,1.95,1.27,1.16,1.61,2.9
2019,1.33,0.75,0.75,1.03,1.32,0.86,1.82,1.18,0.32,1.83,0.9,1.57,1.83
2020,0.85,0.51,1.16,1.92,0.65,0.58,2.54,1.76,1.2,1.53,0.98,1.02,2.54
2021,0.78,1.85,1.27,0.83,1.22,0.65,2.27,4.45,7.13,3.3,0.48,0.42,7.13
2022,1.16,0.74,0.93,1.24,0.92,0.83,1.85,0.48,1.11,1.85,0.89,1.83,1.85
2023,0.9,0.34,0.99,2.46,0.77,0.51,1.32,1.33,5.48,0.84,1.93,2.21,5.48
2024,1.73,M,M,M,M,M,M,M,M,M,M,M,1.73