Route,P13,P12,P11,P10,P9,P8,P7,P6,P5,P4,P3,P2,P1
13,3.12,3.27,4.5,2.56,2.72,2.54,3,2.58,1.94,2.07,2.11,2.04,1.85
16,2.76,2.08,2.41,2.69,3.06,3.18,3.52,2.71,2.37,1.39,1.65,1.39,1.46
27,3.36,2.93,2.99,3.37,3.46,3.54,3.46,2.61,2.11,1.96,2.34,1.92,2.15
39A,2.14,2.23,1.83,1.83,1.66,2.17,1.97,2.41,1.45,1.16,1.3,0.99,1
40,1.87,1.95,3.58,3.58,2.66,2.87,3.76,3.34,2.61,2.3,2.39,2.28,1.85
46A,2.54,2.89,2.97,3.39,3.22,2.38,2.38,2.2,1.92,1.74,1.64,1.36,1.3
123,2.96,3.22,2.96,3.53,3.64,3.8,3.83,2.45,2.53,1.53,2.09,1.94,1.82
14,1.85,2.18,1.81,1.84,1.56,1.47,2,1.72,1.34,1.08,1.34,1.19,0.81
145,1.9,2.63,2.04,2.43,1.71,2.38,2.29,1.95,1.54,1.54,1.53,1.25,1.14
15,1.65,1.84,2.07,1.75,1.31,1.52,1.47,1.25,1.02,1.15,1.31,0.96,0.96
9,2.88,2.51,2.15,1.97,1.6,2.09,1.99,1.97,1.39,1.31,1.26,0.83,0.87
1,0.41,0.41,0.46,0.68,0.8,0.5,0.72,0.47,0.5,0.61,0.68,0.56,0.45
130,1.37,3.2,1.76,1.57,1.85,1.64,1.73,1.64,1.14,1.61,1.81,1.73,1.28
140,1.35,1,0.92,0.89,0.97,1.04,0.87,0.96,0.96,0.84,1.18,0.94,0.74
4,1.83,2.5,2.65,1.62,1.76,1.81,2.08,2.01,1.32,1.33,1.36,1,1.46
N4,1.63,2.47,2.29,1.79,,,,,,,,,