Site,Link,Route
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=50C575F8087E,41
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=50C575F8087E,41C
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=50C575F8087E,33
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=50C575F8087E,N6
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=50C575F8087E,104
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=50C575F8087E,16
Site 000000001013,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=639E9E72D276,27B
Site 000000001012,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=639E9E72D276,16
Site 000000001012,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=639E9E72D276,41
Site 000000001012,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=639E9E72D276,41C
Site 000000001012,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=639E9E72D276,27B
Site 000000001500,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=1ED82FB0D940,No Routes
Site 000000001014,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=AC4CFFCADDC0,16
Site 000000001014,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=AC4CFFCADDC0,41
Site 000000001014,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=AC4CFFCADDC0,41C
Site 000000001501,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=256365229484,140
Site 000000001501,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=256365229484,155
Site 000000001501,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=256365229484,N6
Site 000000001501,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=256365229484,N4
Site 000000020021,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=2DC89969FF76,103
Site 000000020021,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=2DC89969FF76,40B
Site 000000001502,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=281080600524,No Routes
Site 000000001034,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=704BB90EBC47,39A
Site 000000001034,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=704BB90EBC47,38
Site 000000001034,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=704BB90EBC47,38A
Site 000000001034,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=704BB90EBC47,37
Site 000000001034,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=704BB90EBC47,238
Site 000000001508,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=130DE8EB2080,37
Site 000000001508,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=130DE8EB2080,70N
Site 000000020047,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=3EEB774F90FA,C3
Site 000000020047,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=3EEB774F90FA,C4
Site 000000020047,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=3EEB774F90FA,C1
Site 000000020047,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=3EEB774F90FA,C2
Site 000000020047,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=3EEB774F90FA,L53
Site 000000001044,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=2CDA5459A8C6,52
Site 000000001044,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=2CDA5459A8C6,C3
Site 000000001044,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=2CDA5459A8C6,C4
Site 000000001503,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=1AC4B928819F,26
Site 000000001503,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=1AC4B928819F,W4
Site 000000001070,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=ABEB430EAE98,69
Site 000000001070,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=ABEB430EAE98,13
Site 000000001509,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=BE5B05AF1821,No Routes
Site 000000001504,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=A4598463930A,77A
Site 000000001505,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=9E5AE50904B7,15
Site 000000001505,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=9E5AE50904B7,49
Site 000000001505,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=9E5AE50904B7,15B
Site 000000001812,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=33B65E5A3CAF,54A
Site 000000001812,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=33B65E5A3CAF,65
Site 000000001506,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=37209B7AE5F0,No Routes
Site 000000001507,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=D07D5677D191,S8
Site 000000001507,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=D07D5677D191,161
Site 000000001312,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=1ACA9A705AAA,S8
Site 000000001312,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=1ACA9A705AAA,114
Site 000000001311,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=DD4D0AA1722E,S6
Site 000000001311,https://trafficdata.tii.ie/sitedashboard.asp?sgid=XZOA8M4LR27P0HAO3_SRSB&spid=DD4D0AA1722E,L25